Date,Team.1,Team.2,FT
1/12/2002,West Ham,Leicester,Jan-00
1/13/2002,Arsenal,Liverpool,1-Jan
1/13/2002,Southampton,Man United,3-Jan
1/19/2002,Derby,Ipswich,3-Jan
1/19/2002,Leicester,Newcastle,0-0
1/19/2002,Liverpool,Southampton,1-Jan
1/19/2002,Man United,Blackburn,1-Feb
1/19/2002,Middlesbrough,Bolton,1-Jan
1/19/2002,Sunderland,Fulham,1-Jan
1/19/2002,Tottenham,Everton,1-Jan
1/20/2002,Chelsea,West Ham,1-May
1/20/2002,Leeds,Arsenal,1-Jan
1/21/2002,Charlton,Aston Villa,2-Jan
1/22/2002,Man United,Liverpool,0-1
1/23/2002,Leicester,Arsenal,3-Jan
1/29/2002,Bolton,Man United,0-4
1/29/2002,Charlton,Derby,Jan-00
1/29/2002,Sunderland,Middlesbrough,0-1
1/30/2002,Aston Villa,Everton,0-0
1/30/2002,Blackburn,Arsenal,3-Feb
1/30/2002,Chelsea,Leeds,Feb-00
1/30/2002,Ipswich,Fulham,Jan-00
1/30/2002,Liverpool,Leicester,Jan-00
1/30/2002,Southampton,West Ham,Feb-00
1/30/2002,Tottenham,Newcastle,3-Jan
2/2/2002,Arsenal,Southampton,1-Jan
2/2/2002,Derby,Tottenham,Jan-00
2/2/2002,Everton,Ipswich,2-Jan
2/2/2002,Fulham,Aston Villa,0-0
2/2/2002,Leicester,Chelsea,3-Feb
2/2/2002,Man United,Sunderland,1-Apr
2/2/2002,Newcastle,Bolton,2-Mar
2/2/2002,West Ham,Blackburn,Feb-00
2/3/2002,Leeds,Liverpool,0-4
2/3/2002,Middlesbrough,Charlton,0-0
2/9/2002,Aston Villa,Chelsea,1-Jan
2/9/2002,Bolton,West Ham,Jan-00
2/9/2002,Derby,Sunderland,0-1
2/9/2002,Fulham,Blackburn,Feb-00
2/9/2002,Ipswich,Liverpool,0-6
2/9/2002,Middlesbrough,Leeds,2-Feb
2/9/2002,Newcastle,Southampton,1-Mar
2/9/2002,Tottenham,Leicester,1-Feb
2/10/2002,Charlton,Man United,0-2
2/10/2002,Everton,Arsenal,0-1
2/19/2002,Middlesbrough,Fulham,1-Feb
2/23/2002,Arsenal,Fulham,1-Apr
2/23/2002,Leicester,Derby,0-3
2/23/2002,Liverpool,Everton,1-Jan
2/23/2002,Man United,Aston Villa,Jan-00
2/23/2002,Southampton,Bolton,0-0
2/23/2002,West Ham,Middlesbrough,Jan-00
2/24/2002,Leeds,Charlton,0-0
2/24/2002,Sunderland,Newcastle,0-1
3/2/2002,Aston Villa,West Ham,1-Feb
3/2/2002,Bolton,Blackburn,1-Jan
3/2/2002,Charlton,Chelsea,1-Feb
3/2/2002,Fulham,Liverpool,0-2
3/2/2002,Ipswich,Southampton,3-Jan
3/2/2002,Middlesbrough,Leicester,Jan-00
3/2/2002,Newcastle,Arsenal,0-2
3/2/2002,Tottenham,Sunderland,1-Feb
3/3/2002,Derby,Man United,2-Feb
3/3/2002,Everton,Leeds,0-0
3/5/2002,Arsenal,Derby,Jan-00
3/5/2002,Blackburn,Aston Villa,Mar-00
3/5/2002,Sunderland,Bolton,Jan-00
3/6/2002,Chelsea,Fulham,2-Mar
3/6/2002,Leeds,Ipswich,Feb-00
3/6/2002,Liverpool,Newcastle,Mar-00
3/6/2002,Man United,Tottenham,Apr-00
3/6/2002,Southampton,Middlesbrough,1-Jan
3/6/2002,West Ham,Everton,Jan-00
3/9/2002,Leicester,Charlton,1-Jan
3/13/2002,Blackburn,Ipswich,1-Feb
3/13/2002,Chelsea,Tottenham,Apr-00
3/16/2002,Bolton,Derby,3-Jan
3/16/2002,Chelsea,Sunderland,Apr-00
3/16/2002,Everton,Fulham,1-Feb
3/16/2002,Middlesbrough,Liverpool,2-Jan
3/16/2002,Newcastle,Ipswich,2-Feb
3/16/2002,Southampton,Leicester,2-Feb
3/16/2002,West Ham,Man United,5-Mar
3/17/2002,Aston Villa,Arsenal,2-Jan
3/17/2002,Leeds,Blackburn,1-Mar
3/18/2002,Tottenham,Charlton,0-1
3/23/2002,Charlton,Bolton,2-Jan
3/23/2002,Derby,Everton,4-Mar
3/23/2002,Ipswich,Aston Villa,0-0
3/23/2002,Leicester,Leeds,0-2
3/23/2002,Man United,Middlesbrough,0-1
3/23/2002,Sunderland,Southampton,1-Jan
3/24/2002,Fulham,Tottenham,0-2
3/24/2002,Liverpool,Chelsea,Jan-00
3/29/2002,Newcastle,Everton,2-Jun
3/30/2002,Arsenal,Sunderland,Mar-00
3/30/2002,Bolton,Aston Villa,2-Mar
3/30/2002,Chelsea,Derby,1-Feb
3/30/2002,Leeds,Man United,4-Mar
3/30/2002,Leicester,Blackburn,1-Feb
3/30/2002,Liverpool,Charlton,Feb-00
3/30/2002,Middlesbrough,Tottenham,1-Jan
3/30/2002,Southampton,Fulham,1-Jan
3/30/2002,West Ham,Ipswich,1-Mar
4/1/2002,Blackburn,Southampton,Feb-00
4/1/2002,Charlton,Arsenal,0-3
4/1/2002,Derby,Middlesbrough,0-1
4/1/2002,Everton,Bolton,1-Mar
4/1/2002,Fulham,West Ham,0-1
4/1/2002,Ipswich,Chelsea,0-0
4/1/2002,Sunderland,Leicester,1-Feb
4/1/2002,Tottenham,Leeds,1-Feb
4/2/2002,Aston Villa,Newcastle,1-Jan
4/6/2002,Arsenal,Tottenham,1-Feb
4/6/2002,Bolton,Ipswich,1-Apr
4/6/2002,Chelsea,Everton,Mar-00
4/6/2002,Leicester,Man United,0-1
4/6/2002,Middlesbrough,Aston Villa,1-Feb
4/6/2002,Southampton,Derby,Feb-00
4/6/2002,West Ham,Charlton,Feb-00
4/7/2002,Leeds,Sunderland,Feb-00
4/8/2002,Newcastle,Fulham,1-Jan
4/10/2002,Blackburn,Chelsea,0-0
4/13/2002,Aston Villa,Leeds,0-1
4/13/2002,Charlton,Southampton,1-Jan
4/13/2002,Derby,Newcastle,3-Feb
4/13/2002,Everton,Leicester,2-Feb
4/13/2002,Sunderland,Liverpool,0-1
4/13/2002,Tottenham,West Ham,1-Jan
4/20/2002,Bolton,Tottenham,1-Jan
4/20/2002,Chelsea,Man United,0-3
4/20/2002,Leeds,Fulham,0-1
4/20/2002,Leicester,Aston Villa,2-Feb
4/20/2002,Liverpool,Derby,Feb-00
4/20/2002,Middlesbrough,Blackburn,3-Jan
4/20/2002,Newcastle,Charlton,Mar-00
4/20/2002,Southampton,Everton,0-1
4/20/2002,West Ham,Sunderland,Mar-00
4/21/2002,Arsenal,Ipswich,Feb-00
4/23/2002,Blackburn,Newcastle,2-Feb
4/23/2002,Fulham,Bolton,Mar-00
4/24/2002,Arsenal,West Ham,Feb-00
4/24/2002,Ipswich,Middlesbrough,Jan-00
4/27/2002,Aston Villa,Southampton,1-Feb
4/27/2002,Charlton,Sunderland,2-Feb
4/27/2002,Derby,Leeds,0-1
4/27/2002,Fulham,Leicester,0-0
4/27/2002,Ipswich,Man United,0-1
4/27/2002,Middlesbrough,Chelsea,0-2
4/27/2002,Newcastle,West Ham,1-Mar
4/27/2002,Tottenham,Liverpool,Jan-00
4/28/2002,Everton,Blackburn,2-Jan
4/29/2002,Bolton,Arsenal,0-2
5/8/2002,Liverpool,Blackburn,3-Apr
5/8/2002,Man United,Arsenal,0-1
5/11/2002,Arsenal,Everton,3-Apr
5/11/2002,Blackburn,Fulham,Mar-00
5/11/2002,Chelsea,Aston Villa,3-Jan
5/11/2002,Leeds,Middlesbrough,Jan-00
5/11/2002,Leicester,Tottenham,1-Feb
5/11/2002,Liverpool,Ipswich,May-00
5/11/2002,Man United,Charlton,0-0
5/11/2002,Southampton,Newcastle,1-Mar
5/11/2002,Sunderland,Derby,1-Jan
5/11/2002,West Ham,Bolton,1-Feb
8/17/2002,Blackburn,Sunderland,0-0
8/17/2002,Charlton,Chelsea,3-Feb
8/17/2002,Everton,Tottenham,2-Feb
8/17/2002,Fulham,Bolton,1-Apr
8/17/2002,Leeds,Man City,Mar-00
8/17/2002,Man United,West Brom,Jan-00
8/17/2002,Southampton,Middlesboro,0-0
8/18/2002,Arsenal,Birmingham,Feb-00
8/18/2002,Aston Villa,Liverpool,0-1
8/19/2002,Newcastle,West Ham,Apr-00
8/23/2002,Chelsea,Man United,2-Feb
8/24/2002,Birmingham,Blackburn,0-1
8/24/2002,Bolton,Charlton,2-Jan
8/24/2002,Liverpool,Southampton,Mar-00
8/24/2002,Man City,Newcastle,Jan-00
8/24/2002,Middlesboro,Fulham,2-Feb
8/24/2002,Sunderland,Everton,0-1
8/24/2002,Tottenham,Aston Villa,Jan-00
8/24/2002,West Brom,Leeds,3-Jan
8/24/2002,West Ham,Arsenal,2-Feb
8/27/2002,Arsenal,West Brom,2-May
8/27/2002,Charlton,Tottenham,0-1
8/28/2002,Aston Villa,Man City,Jan-00
8/28/2002,Blackburn,Liverpool,2-Feb
8/28/2002,Everton,Birmingham,1-Jan
8/28/2002,Leeds,Sunderland,0-1
8/28/2002,Southampton,Chelsea,1-Jan
8/31/2002,Birmingham,Leeds,1-Feb
8/31/2002,Man City,Everton,1-Mar
8/31/2002,Middlesboro,Blackburn,Jan-00
8/31/2002,Sunderland,Man United,1-Jan
8/31/2002,Tottenham,Southampton,1-Feb
8/31/2002,West Brom,Fulham,Jan-00
8/31/2002,West Ham,Charlton,0-2
9/1/2002,Bolton,Aston Villa,Jan-00
9/1/2002,Chelsea,Arsenal,1-Jan
9/2/2002,Liverpool,Newcastle,2-Feb
9/3/2002,Man United,Middlesboro,Jan-00
9/10/2002,Arsenal,Man City,1-Feb
9/10/2002,Middlesboro,Sunderland,Mar-00
9/11/2002,Aston Villa,Charlton,Feb-00
9/11/2002,Blackburn,Chelsea,3-Feb
9/11/2002,Fulham,Tottenham,2-Mar
9/11/2002,Liverpool,Birmingham,2-Feb
9/11/2002,Man United,Bolton,0-1
9/11/2002,Newcastle,Leeds,0-2
9/11/2002,Southampton,Everton,Jan-00
9/11/2002,West Ham,West Brom,0-1
9/14/2002,Bolton,Liverpool,3-Feb
9/14/2002,Charlton,Arsenal,0-3
9/14/2002,Chelsea,Newcastle,Mar-00
9/14/2002,Everton,Middlesboro,1-Feb
9/14/2002,Leeds,Man United,Jan-00
9/14/2002,Sunderland,Fulham,0-3
9/14/2002,West Brom,Southampton,Jan-00
9/15/2002,Man City,Blackburn,2-Feb
9/15/2002,Tottenham,West Ham,2-Mar
9/16/2002,Birmingham,Aston Villa,Mar-00
9/21/2002,Arsenal,Bolton,1-Feb
9/21/2002,Liverpool,West Brom,Feb-00
9/21/2002,Man United,Tottenham,Jan-00
9/21/2002,Middlesboro,Birmingham,Jan-00
9/21/2002,Newcastle,Sunderland,Feb-00
9/21/2002,Southampton,Charlton,0-0
9/21/2002,West Ham,Man City,0-0
9/22/2002,Aston Villa,Everton,2-Mar
9/22/2002,Blackburn,Leeds,Jan-00
9/23/2002,Fulham,Chelsea,0-0
9/28/2002,Birmingham,Newcastle,0-2
9/28/2002,Bolton,Southampton,1-Jan
9/28/2002,Charlton,Man United,3-Jan
9/28/2002,Chelsea,West Ham,3-Feb
9/28/2002,Everton,Fulham,Feb-00
9/28/2002,Leeds,Arsenal,4-Jan
9/28/2002,Man City,Liverpool,0-3
9/28/2002,Sunderland,Aston Villa,Jan-00
9/28/2002,Tottenham,Middlesboro,0-3
9/30/2002,West Brom,Blackburn,0-2
10/5/2002,Middlesboro,Bolton,Feb-00
10/5/2002,Newcastle,West Brom,1-Feb
10/5/2002,Southampton,Man City,Feb-00
10/5/2002,West Ham,Birmingham,2-Jan
10/6/2002,Arsenal,Sunderland,1-Mar
10/6/2002,Aston Villa,Leeds,0-0
10/6/2002,Blackburn,Tottenham,2-Jan
10/6/2002,Fulham,Charlton,Jan-00
10/6/2002,Liverpool,Chelsea,Jan-00
10/7/2002,Man United,Everton,Mar-00
10/19/2002,Blackburn,Newcastle,2-May
10/19/2002,Everton,Arsenal,1-Feb
10/19/2002,Fulham,Man United,1-Jan
10/19/2002,Leeds,Liverpool,0-1
10/19/2002,Man City,Chelsea,0-3
10/19/2002,Sunderland,West Ham,0-1
10/19/2002,West Brom,Birmingham,1-Jan
10/20/2002,Charlton,Middlesboro,Jan-00
10/20/2002,Tottenham,Bolton,1-Mar
10/21/2002,Aston Villa,Southampton,0-1
10/23/2002,Fulham,West Ham,0-1
10/26/2002,Arsenal,Blackburn,2-Jan
10/26/2002,Birmingham,Man City,0-2
10/26/2002,Chelsea,West Brom,Feb-00
10/26/2002,Liverpool,Tottenham,1-Feb
10/26/2002,Man United,Aston Villa,1-Jan
10/26/2002,Middlesboro,Leeds,2-Feb
10/26/2002,Newcastle,Charlton,1-Feb
10/27/2002,Southampton,Fulham,2-Apr
10/27/2002,West Ham,Everton,0-1
10/28/2002,Bolton,Sunderland,1-Jan
11/2/2002,Birmingham,Bolton,1-Mar
11/2/2002,Liverpool,West Ham,Feb-00
11/2/2002,Man United,Southampton,1-Feb
11/2/2002,West Brom,Man City,2-Jan
11/3/2002,Blackburn,Aston Villa,0-0
11/3/2002,Charlton,Sunderland,1-Jan
11/3/2002,Fulham,Arsenal,0-1
11/3/2002,Leeds,Everton,0-1
11/3/2002,Tottenham,Chelsea,0-0
11/4/2002,Newcastle,Middlesboro,Feb-00
11/9/2002,Arsenal,Newcastle,Jan-00
11/9/2002,Aston Villa,Fulham,1-Mar
11/9/2002,Bolton,West Brom,1-Jan
11/9/2002,Chelsea,Birmingham,Mar-00
11/9/2002,Everton,Charlton,Jan-00
11/9/2002,Man City,Man United,1-Mar
11/9/2002,Middlesboro,Liverpool,Jan-00
11/9/2002,Southampton,Blackburn,1-Jan
11/10/2002,Sunderland,Tottenham,Feb-00
11/10/2002,West Ham,Leeds,4-Mar
11/16/2002,Arsenal,Tottenham,Mar-00
11/16/2002,Chelsea,Middlesboro,Jan-00
11/16/2002,Man City,Charlton,0-1
11/16/2002,Newcastle,Southampton,1-Feb
11/16/2002,West Brom,Aston Villa,0-0
11/17/2002,Birmingham,Fulham,0-0
11/17/2002,Blackburn,Everton,0-1
11/17/2002,Leeds,Bolton,4-Feb
11/17/2002,Liverpool,Sunderland,0-0
11/17/2002,West Ham,Man United,1-Jan
11/23/2002,Aston Villa,West Ham,1-Apr
11/23/2002,Bolton,Chelsea,1-Jan
11/23/2002,Everton,West Brom,Jan-00
11/23/2002,Fulham,Liverpool,2-Mar
11/23/2002,Man United,Newcastle,3-May
11/23/2002,Middlesboro,Man City,1-Mar
11/23/2002,Southampton,Arsenal,2-Mar
11/23/2002,Sunderland,Birmingham,0-1
11/24/2002,Charlton,Blackburn,1-Mar
11/24/2002,Tottenham,Leeds,Feb-00
11/30/2002,Arsenal,Aston Villa,1-Mar
11/30/2002,Birmingham,Tottenham,1-Jan
11/30/2002,Blackburn,Fulham,1-Feb
11/30/2002,Chelsea,Sunderland,Mar-00
11/30/2002,Man City,Bolton,Feb-00
11/30/2002,West Brom,Middlesboro,Jan-00
12/1/2002,Leeds,Charlton,2-Jan
12/1/2002,Liverpool,Man United,2-Jan
12/1/2002,Newcastle,Everton,1-Feb
12/2/2002,West Ham,Southampton,0-1
12/7/2002,Aston Villa,Newcastle,0-1
12/7/2002,Bolton,Blackburn,1-Jan
12/7/2002,Charlton,Liverpool,Feb-00
12/7/2002,Everton,Chelsea,3-Jan
12/7/2002,Fulham,Leeds,Jan-00
12/7/2002,Man United,Arsenal,Feb-00
12/7/2002,Middlesboro,West Ham,2-Feb
12/7/2002,Southampton,Birmingham,Feb-00
12/8/2002,Tottenham,West Brom,1-Mar
12/9/2002,Sunderland,Man City,0-3
12/14/2002,Aston Villa,West Brom,1-Feb
12/14/2002,Charlton,Man City,2-Feb
12/14/2002,Everton,Blackburn,1-Feb
12/14/2002,Man United,West Ham,Mar-00
12/14/2002,Middlesboro,Chelsea,1-Jan
12/14/2002,Southampton,Newcastle,1-Jan
12/15/2002,Fulham,Birmingham,0-1
12/15/2002,Sunderland,Liverpool,1-Feb
12/15/2002,Tottenham,Arsenal,1-Jan
12/16/2002,Bolton,Leeds,0-3
12/21/2002,Arsenal,Middlesboro,Feb-00
12/21/2002,Birmingham,Charlton,1-Jan
12/21/2002,Chelsea,Aston Villa,Feb-00
12/21/2002,Leeds,Southampton,1-Jan
12/21/2002,Newcastle,Fulham,Feb-00
12/21/2002,West Brom,Sunderland,2-Feb
12/21/2002,West Ham,Bolton,1-Jan
12/22/2002,Blackburn,Man United,Jan-00
12/22/2002,Liverpool,Everton,0-0
12/23/2002,Man City,Tottenham,3-Feb
12/26/2002,Birmingham,Everton,1-Jan
12/26/2002,Bolton,Newcastle,3-Apr
12/26/2002,Chelsea,Southampton,0-0
12/26/2002,Liverpool,Blackburn,1-Jan
12/26/2002,Man City,Aston Villa,1-Mar
12/26/2002,Middlesboro,Man United,1-Mar
12/26/2002,Sunderland,Leeds,2-Jan
12/26/2002,Tottenham,Charlton,2-Feb
12/26/2002,West Brom,Arsenal,2-Jan
12/26/2002,West Ham,Fulham,1-Jan
12/28/2002,Aston Villa,Middlesboro,Jan-00
12/28/2002,Blackburn,West Ham,2-Feb
12/28/2002,Charlton,West Brom,Jan-00
12/28/2002,Everton,Bolton,0-0
12/28/2002,Fulham,Man City,0-1
12/28/2002,Leeds,Chelsea,Feb-00
12/28/2002,Man United,Birmingham,Feb-00
12/28/2002,Southampton,Sunderland,1-Feb
12/29/2002,Arsenal,Liverpool,1-Jan
12/29/2002,Newcastle,Tottenham,1-Feb
1/1/2003,Arsenal,Chelsea,2-Mar
1/1/2003,Aston Villa,Bolton,Feb-00
1/1/2003,Blackburn,Middlesboro,Jan-00
1/1/2003,Everton,Man City,2-Feb
1/1/2003,Leeds,Birmingham,Feb-00
1/1/2003,Man United,Sunderland,1-Feb
1/1/2003,Newcastle,Liverpool,Jan-00
1/1/2003,Southampton,Tottenham,Jan-00
1/11/2003,Bolton,Fulham,0-0
1/11/2003,Chelsea,Charlton,1-Apr
1/11/2003,Liverpool,Aston Villa,1-Jan
1/11/2003,Man City,Leeds,1-Feb
1/11/2003,Middlesboro,Southampton,2-Feb
1/11/2003,Sunderland,Blackburn,0-0
1/11/2003,West Brom,Man United,3-Jan
1/11/2003,West Ham,Newcastle,2-Feb
1/12/2003,Birmingham,Arsenal,0-4
1/12/2003,Tottenham,Everton,3-Apr
1/18/2003,Aston Villa,Tottenham,0-1
1/18/2003,Blackburn,Birmingham,1-Jan
1/18/2003,Charlton,Bolton,1-Jan
1/18/2003,Everton,Sunderland,1-Feb
1/18/2003,Leeds,West Brom,0-0
1/18/2003,Man United,Chelsea,1-Feb
1/18/2003,Newcastle,Man City,Feb-00
1/18/2003,Southampton,Liverpool,0-1
1/19/2003,Arsenal,West Ham,1-Mar
1/19/2003,Fulham,Middlesboro,Jan-00
1/22/2003,Charlton,West Ham,2-Apr
1/22/2003,Newcastle,Bolton,Jan-00
1/28/2003,Bolton,Everton,2-Jan
1/28/2003,Chelsea,Leeds,2-Mar
1/28/2003,Middlesboro,Aston Villa,5-Feb
1/28/2003,Sunderland,Southampton,0-1
1/29/2003,Liverpool,Arsenal,2-Feb
1/29/2003,Man City,Fulham,1-Apr
1/29/2003,Tottenham,Newcastle,0-1
1/29/2003,West Brom,Charlton,0-1
1/29/2003,West Ham,Blackburn,1-Feb
2/1/2003,Arsenal,Fulham,1-Feb
2/1/2003,Bolton,Birmingham,2-Apr
2/1/2003,Chelsea,Tottenham,1-Jan
2/1/2003,Everton,Leeds,Feb-00
2/1/2003,Man City,West Brom,2-Jan
2/1/2003,Southampton,Man United,0-2
2/1/2003,Sunderland,Charlton,3-Jan
2/2/2003,Aston Villa,Blackburn,Mar-00
2/2/2003,West Ham,Liverpool,0-3
2/4/2003,Birmingham,Man United,0-1
2/8/2003,Birmingham,Chelsea,3-Jan
2/8/2003,Blackburn,Southampton,Jan-00
2/8/2003,Charlton,Everton,1-Feb
2/8/2003,Fulham,Aston Villa,1-Feb
2/8/2003,Leeds,West Ham,Jan-00
2/8/2003,Liverpool,Middlesboro,1-Jan
2/8/2003,Tottenham,Sunderland,1-Apr
2/8/2003,West Brom,Bolton,1-Jan
2/9/2003,Man United,Man City,1-Jan
2/9/2003,Newcastle,Arsenal,1-Jan
2/19/2003,Fulham,West Brom,Mar-00
2/22/2003,Bolton,Man United,1-Jan
2/22/2003,Charlton,Aston Villa,Mar-00
2/22/2003,Chelsea,Blackburn,2-Jan
2/22/2003,Everton,Southampton,1-Feb
2/22/2003,Leeds,Newcastle,0-3
2/22/2003,Man City,Arsenal,5-Jan
2/22/2003,Sunderland,Middlesboro,3-Jan
2/23/2003,Birmingham,Liverpool,1-Feb
2/23/2003,West Brom,West Ham,2-Jan
2/24/2003,Tottenham,Fulham,1-Jan
3/1/2003,Blackburn,Man City,Jan-00
3/1/2003,Fulham,Sunderland,Jan-00
3/1/2003,Middlesboro,Everton,1-Jan
3/1/2003,Newcastle,Chelsea,1-Feb
3/1/2003,Southampton,West Brom,Jan-00
3/1/2003,West Ham,Tottenham,Feb-00
3/2/2003,Arsenal,Charlton,Feb-00
3/3/2003,Aston Villa,Birmingham,0-2
3/5/2003,Man United,Leeds,1-Feb
3/5/2003,Middlesboro,Newcastle,Jan-00
3/8/2003,Liverpool,Bolton,Feb-00
3/15/2003,Aston Villa,Man United,0-1
3/15/2003,Blackburn,Arsenal,Feb-00
3/15/2003,Charlton,Newcastle,0-2
3/15/2003,Everton,West Ham,0-0
3/15/2003,Fulham,Southampton,2-Feb
3/15/2003,Leeds,Middlesboro,3-Feb
3/15/2003,Sunderland,Bolton,0-2
3/16/2003,Man City,Birmingham,Jan-00
3/16/2003,Tottenham,Liverpool,3-Feb
3/16/2003,West Brom,Chelsea,0-2
3/22/2003,Birmingham,West Brom,Jan-00
3/22/2003,Chelsea,Man City,May-00
3/22/2003,Man United,Fulham,Mar-00
3/22/2003,Middlesboro,Charlton,1-Jan
3/22/2003,Newcastle,Blackburn,1-May
3/22/2003,Southampton,Aston Villa,2-Feb
3/22/2003,West Ham,Sunderland,Feb-00
3/23/2003,Arsenal,Everton,1-Feb
3/23/2003,Liverpool,Leeds,1-Mar
3/24/2003,Bolton,Tottenham,Jan-00
4/5/2003,Aston Villa,Arsenal,1-Jan
4/5/2003,Bolton,Man City,Feb-00
4/5/2003,Charlton,Leeds,6-Jan
4/5/2003,Man United,Liverpool,Apr-00
4/5/2003,Middlesboro,West Brom,Mar-00
4/5/2003,Southampton,West Ham,1-Jan
4/5/2003,Sunderland,Chelsea,2-Jan
4/5/2003,Tottenham,Birmingham,1-Feb
4/6/2003,Everton,Newcastle,1-Feb
4/7/2003,Fulham,Blackburn,0-4
4/12/2003,Birmingham,Sunderland,Feb-00
4/12/2003,Blackburn,Charlton,Jan-00
4/12/2003,Chelsea,Bolton,Jan-00
4/12/2003,Leeds,Tottenham,2-Feb
4/12/2003,Liverpool,Fulham,Feb-00
4/12/2003,Man City,Middlesboro,0-0
4/12/2003,Newcastle,Man United,6-Feb
4/12/2003,West Brom,Everton,2-Jan
4/12/2003,West Ham,Aston Villa,2-Feb
4/16/2003,Arsenal,Man United,2-Feb
4/18/2003,Tottenham,Man City,0-2
4/19/2003,Aston Villa,Chelsea,1-Feb
4/19/2003,Bolton,West Ham,Jan-00
4/19/2003,Charlton,Birmingham,0-2
4/19/2003,Everton,Liverpool,2-Jan
4/19/2003,Fulham,Newcastle,1-Feb
4/19/2003,Man United,Blackburn,1-Mar
4/19/2003,Middlesboro,Arsenal,0-2
4/19/2003,Southampton,Leeds,2-Mar
4/19/2003,Sunderland,West Brom,2-Jan
4/21/2003,Birmingham,Southampton,2-Mar
4/21/2003,Blackburn,Bolton,0-0
4/21/2003,Chelsea,Everton,1-Apr
4/21/2003,Liverpool,Charlton,1-Feb
4/21/2003,Man City,Sunderland,Mar-00
4/21/2003,Newcastle,Aston Villa,1-Jan
4/21/2003,West Brom,Tottenham,3-Feb
4/21/2003,West Ham,Middlesboro,Jan-00
4/22/2003,Leeds,Fulham,Feb-00
4/26/2003,Birmingham,Middlesboro,Mar-00
4/26/2003,Bolton,Arsenal,2-Feb
4/26/2003,Charlton,Southampton,1-Feb
4/26/2003,Chelsea,Fulham,1-Jan
4/26/2003,Everton,Aston Villa,1-Feb
4/26/2003,Leeds,Blackburn,3-Feb
4/26/2003,Sunderland,Newcastle,0-1
4/26/2003,West Brom,Liverpool,0-6
4/27/2003,Man City,West Ham,0-1
4/27/2003,Tottenham,Man United,0-2
5/3/2003,Aston Villa,Sunderland,Jan-00
5/3/2003,Blackburn,West Brom,1-Jan
5/3/2003,Fulham,Everton,Feb-00
5/3/2003,Liverpool,Man City,2-Jan
5/3/2003,Man United,Charlton,1-Apr
5/3/2003,Middlesboro,Tottenham,1-May
5/3/2003,Newcastle,Birmingham,Jan-00
5/3/2003,Southampton,Bolton,0-0
5/3/2003,West Ham,Chelsea,Jan-00
5/4/2003,Arsenal,Leeds,3-Feb
5/7/2003,Arsenal,Southampton,1-Jun
5/11/2003,Birmingham,West Ham,2-Feb
5/11/2003,Bolton,Middlesboro,1-Feb
5/11/2003,Charlton,Fulham,0-1
5/11/2003,Chelsea,Liverpool,1-Feb
5/11/2003,Everton,Man United,2-Jan
5/11/2003,Leeds,Aston Villa,1-Mar
5/11/2003,Man City,Southampton,0-1
5/11/2003,Sunderland,Arsenal,0-4
5/11/2003,Tottenham,Blackburn,0-4
5/11/2003,West Brom,Newcastle,2-Feb
8/16/2003,Arsenal,Everton,1-Feb
8/16/2003,Birmingham,Tottenham,Jan-00
8/16/2003,Blackburn,Wolves,1-May
8/16/2003,Fulham,Middlesbrough,2-Mar
8/16/2003,Leicester,Southampton,2-Feb
8/16/2003,Man United,Bolton,Apr-00
8/16/2003,Portsmouth,Aston Villa,1-Feb
8/17/2003,Charlton,Man City,0-3
8/17/2003,Leeds,Newcastle,2-Feb
8/17/2003,Liverpool,Chelsea,2-Jan
8/23/2003,Bolton,Blackburn,2-Feb
8/23/2003,Chelsea,Leicester,1-Feb
8/23/2003,Everton,Fulham,1-Mar
8/23/2003,Man City,Portsmouth,1-Jan
8/23/2003,Newcastle,Man United,2-Jan
8/23/2003,Southampton,Birmingham,0-0
8/23/2003,Tottenham,Leeds,1-Feb
8/23/2003,Wolves,Charlton,0-4
8/24/2003,Aston Villa,Liverpool,0-0
8/24/2003,Middlesbrough,Arsenal,0-4
8/25/2003,Blackburn,Man City,3-Feb
8/26/2003,Charlton,Everton,2-Feb
8/26/2003,Leeds,Southampton,0-0
8/26/2003,Leicester,Middlesbrough,0-0
8/26/2003,Portsmouth,Bolton,Apr-00
8/27/2003,Arsenal,Aston Villa,Feb-00
8/27/2003,Liverpool,Tottenham,0-0
8/27/2003,Man United,Wolves,Jan-00
8/30/2003,Aston Villa,Leicester,1-Mar
8/30/2003,Bolton,Charlton,0-0
8/30/2003,Chelsea,Blackburn,2-Feb
8/30/2003,Everton,Liverpool,0-3
8/30/2003,Middlesbrough,Leeds,3-Feb
8/30/2003,Newcastle,Birmingham,0-1
8/30/2003,Tottenham,Fulham,0-3
8/30/2003,Wolves,Portsmouth,0-0
8/31/2003,Man City,Arsenal,2-Jan
8/31/2003,Southampton,Man United,Jan-00
9/13/2003,Arsenal,Portsmouth,1-Jan
9/13/2003,Blackburn,Liverpool,3-Jan
9/13/2003,Bolton,Middlesbrough,Feb-00
9/13/2003,Charlton,Man United,0-2
9/13/2003,Chelsea,Tottenham,2-Apr
9/13/2003,Everton,Newcastle,2-Feb
9/13/2003,Southampton,Wolves,Feb-00
9/14/2003,Birmingham,Fulham,2-Feb
9/14/2003,Man City,Aston Villa,1-Apr
9/15/2003,Leicester,Leeds,Apr-00
9/20/2003,Aston Villa,Charlton,1-Feb
9/20/2003,Fulham,Man City,2-Feb
9/20/2003,Leeds,Birmingham,0-2
